cluster,size,percentage,dominant_features,state_mean,long_mean,category_mean,lat_mean,city_pop_mean
0,28,18.67,"['state', 'long', 'category', 'lat', 'city_pop']",0.8544,0.7368,-0.7298,0.3161,-0.3109
1,22,14.67,"['state', 'category', 'long', 'lat', 'city_pop']",-0.7268,-0.5913,-0.7167,0.5556,-0.4386
2,16,10.67,"['category', 'long', 'state', 'lat', 'city_pop']",0.6495,1.0643,1.1711,0.4215,0.0835
3,4,2.67,"['city_pop', 'lat', 'state', 'category', 'long']",1.1513,-0.5843,-0.6434,-1.2695,1.7745
4,17,11.33,"['city_pop', 'long', 'category', 'lat', 'state']",0.1283,1.0569,-0.6276,0.252,1.1697
5,11,7.33,"['category', 'lat', 'city_pop', 'long', 'state']",0.0581,-0.2291,1.2872,-1.1422,-0.2338
6,16,10.67,"['long', 'city_pop', 'state', 'lat', 'category']",0.9559,-1.3563,0.0623,0.7369,-0.9927
7,14,9.33,"['lat', 'state', 'category', 'long', 'city_pop']",-1.3229,-0.2972,-0.6818,-1.5504,0.0192
8,14,9.33,"['category', 'state', 'long', 'city_pop', 'lat']",-0.8458,-0.793,1.4688,0.3889,-0.5876
9,8,5.33,"['city_pop', 'state', 'lat', 'category', 'long']",-1.3356,-0.1,0.5663,-1.2483,2.0564
